gnd,pctile,count,hh_inc,hh_inc_age40,le_agg,le_raceadj,sd_le_agg,sd_le_raceadj
F,1,7098335,432.7821,383.3254,78.52628,78.78384,0.0525379,0.0623696
F,2,7120033,1919.116,1681.78,80.29138,80.46241,0.0561865,0.0641465
F,3,7131115,3718.216,3344.087,81.04365,81.1681,0.0569274,0.0654372
F,4,7135812,5466.639,5051.834,81.43418,81.53068,0.0580886,0.065256
F,5,7140055,7089.429,6671.779,81.54852,81.62885,0.058225,0.0648545
F,6,7141666,8570.268,8166.425,81.604,81.67336,0.0627583,0.0686032
F,7,7144768,9890.65,9424.541,81.64261,81.70304,0.0626076,0.0657507
F,8,7146577,11141.58,10572.96,81.73978,81.78937,0.0628885,0.0663568
F,9,7146867,12367.86,11746.7,81.70618,81.74834,0.0656734,0.0677132
F,10,7149543,13525.56,12807.22,81.71558,81.75417,0.0651041,0.0669319
F,11,7152938,14617.2,13744.71,81.98537,82.01464,0.0651486,0.0654899
F,12,7154548,15691.67,14713.06,82.13082,82.15666,0.0666055,0.0675955
F,13,7157847,16747.2,15697.61,82.32649,82.35178,0.0649845,0.065541
F,14,7156139,17777.51,16666.31,82.30405,82.33271,0.0685515,0.0682344
F,15,7158253,18788.2,17619.53,82.43752,82.4644,0.0683549,0.0683449
F,16,7161532,19787.16,18571.47,82.65928,82.686,0.0687629,0.068541
F,17,7161166,20778.54,19529.73,82.58759,82.62069,0.0664455,0.0659533
F,18,7162264,21764.94,20496.85,82.6616,82.69639,0.067713,0.0675532
F,19,7163496,22747.82,21463.76,82.90882,82.94355,0.0723002,0.072544
F,20,7164020,23728.01,22430.05,82.89081,82.93057,0.071054,0.0710462
F,21,7166206,24707.01,23392.88,82.95511,83.00024,0.0682007,0.0676637
F,22,7165714,25686.21,24357.77,83.00622,83.05891,0.070845,0.0700484
F,23,7168507,26667.35,25329.4,83.06406,83.11854,0.0713855,0.07162
F,24,7169326,27651.84,26304.37,83.2172,83.26859,0.0716746,0.0712457
