gnd,pctile,count,hh_inc,hh_inc_age40,le_agg,le_raceadj,sd_le_agg,sd_le_raceadj
M,1,6767752,356.2361,284.1466,72.37481,72.74278,0.0421758,0.0579075
M,2,6796273,1602.847,1198.62,74.22428,74.49557,0.0457432,0.0565165
M,3,6810846,3222.197,2463.722,75.25354,75.45113,0.0470289,0.0557411
M,4,6819310,4904.683,3878.391,75.69355,75.8381,0.0486033,0.0557499
M,5,6823613,6551.418,5331.466,75.92894,76.03336,0.051366,0.0565548
M,6,6825662,8128.499,6765.567,76.10738,76.18174,0.0516038,0.054616
M,7,6829004,9651.224,8171.835,76.23241,76.28391,0.0518509,0.0558014
M,8,6828386,11102.86,9488.644,76.15797,76.19464,0.0531533,0.0556151
M,9,6831289,12531,10751.09,76.32673,76.34561,0.0523091,0.0542416
M,10,6834092,13934.43,12055.41,76.37934,76.38644,0.0530126,0.0553445
M,11,6836389,15274.93,13282.65,76.46967,76.46548,0.0497607,0.0520393
M,12,6837379,16571.99,14463.59,76.57277,76.56031,0.0513737,0.0533574
M,13,6841654,17837.73,15658.63,76.76334,76.74637,0.0514875,0.0529409
M,14,6843245,19076.29,16825.22,76.84772,76.83517,0.0531425,0.0546588
M,15,6845643,20294.51,17964.01,77.00726,76.99609,0.0523982,0.0528655
M,16,6847732,21496.19,19093.24,77.11562,77.10588,0.0539587,0.0546088
M,17,6849732,22682.99,20214.33,77.36755,77.36023,0.0513357,0.0521645
M,18,6852279,23857.9,21326.66,77.42513,77.42358,0.0527121,0.0528101
M,19,6855574,25022.8,22423.34,77.62618,77.62864,0.0534006,0.053459
M,20,6856197,26177.06,23501.73,77.69313,77.70358,0.0565056,0.056675
M,21,6861736,27327.51,24568.87,77.90485,77.92781,0.056538,0.0566675
M,22,6862527,28473.47,25636.41,78.10691,78.13963,0.055438,0.0556817
M,23,6864806,29616.37,26694.45,78.20582,78.25232,0.0580965,0.0581459
M,24,6866832,30757.89,27748.85,78.3569,78.41409,0.0585791,0.0581284
